emoji,feeling
🏄‍♀️, Woman surfing
🚣‍♂️, Man rowing boat
🚣‍♀️, Woman rowing boat
🏊‍♂️, Man swimming
🏊‍♀️, Woman swimming
🤽‍♂️, Man playing water polo
🤽‍♀️, Woman playing water polo
🚴‍♂️, Man biking
🚴‍♀️, Woman biking
🚵‍♂️, Man mountain biking
🚵‍♀️, Woman mountain biking
🤸‍♂️, Man cartwheeling
🤸‍♀️, Woman cartwheeling
🤼‍♂️, Men wrestling
🤼‍♀️, Women wrestling
🤹‍♂️, Man juggling
🤹‍♀️, Woman juggling
🧖‍♂️, Man in steamy room
🧖‍♀️, Woman in steamy room
🧘‍♂️, Man in lotus position
🧘‍♀️, Woman in lotus position
🛀, Person taking bath
🛌, Person in bed
🧍‍♂️, Man standing
🧍‍♀️, Woman standing
🧎‍♂️, Man kneeling
🧎‍♀️, Woman kneeling
👨‍🦯, Man with white cane
👩‍🦯, Woman with white cane
👨‍🦼, Man in motorized wheelchair
👩‍🦼, Woman in motorized wheelchair
👨‍🦽, Man in manual wheelchair
👩‍🦽, Woman in manual wheelchair
🚶‍♂️, Man walking
🚶‍♀️, Woman walking
🏃‍♂️, Man running
🏃‍♀️, Woman running
👫, Man and woman holding hands
👬, Men holding hands
👭, Women holding hands
💏, Kiss
💑, Couple with heart
👪, Family
🗣, Speaking head
👤, Bust in silhouette
👥, Busts in silhouette
🧑‍⚕️, Health worker
🧑‍🎓, Student
🧑‍🏫, Teacher
🧑‍⚖️, Judge
🧑‍🌾, Farmer
🧑‍🍳, Cook
🧑‍🔧, Mechanic
🧑‍🏭, Factory worker
🧑‍💼, Office worker
🧑‍🔬, Scientist
🧑‍💻, Technologist
🧑‍🎤, Singer
🧑‍🎨, Artist
🧑‍✈️, Pilot
🧑‍🚀, Astronaut
🧑‍🚒, Firefighter
👮, Police officer
🕵️, Detective
💂, Guard
👷, Construction worker
🤴, Prince
👸, Princess
👳, Person wearing turban
👲, Person with Chinese cap
🧕, Woman with headscarf
👱, Blond-haired person
👰, Person with veil
🤵, Person in tuxedo
🤰, Pregnant woman
🤱, Breast-feeding
👩‍🍼, Woman feeding baby
👨‍🍼, Man feeding baby
🧑‍🍼, Person feeding baby
👼, Baby angel
🎅, Santa Claus
🤶, Mrs. Claus
🧑‍🎄, Mx Claus
🦸, Superhero
🦹, Supervillain
🧙, Mage
🧚, Fairy
🧛, Vampire
🧜, Mermaid
🧝, Elf
🧞, Genie
🧟, Zombie
🧌, Troll
💆, Person getting massage
💇, Person getting haircut
🚶, Person walking
🏃, Person running
🧑‍🎄, Person with Santa hat
🦸‍♂️, Man superhero
🦸‍♀️, Woman superhero
🦹‍♂️, Man supervillain
🦹‍♀️, Woman supervillain
👨‍🦳, Man with white hair
👩‍🦳, Woman with white hair
👨‍🦰, Man with red hair
👩‍🦰, Woman with red hair
👨‍🦲, Bald man
👩‍🦲, Bald woman
🧔‍♂️, Man with beard
🧔‍♀️, Woman with beard
🤷‍♂️, Man shrugging
🤷‍♀️, Woman shrugging
💁‍♂️, Man tipping hand
💁‍♀️, Woman tipping hand
🙋‍♂️, Man raising hand
🙋‍♀️, Woman raising hand
🙇‍♂️, Man bowing
🙇‍♀️, Woman bowing
🤦‍♂️, Man facepalming
🤦‍♀️, Woman facepalming
🤰, Pregnant woman
🤱, Breast-feeding
🧑‍🍼, Person feeding baby
👼, Baby angel
🎅, Santa Claus
🤶, Mrs. Claus
🧑‍🎄, Mx Claus
🧙‍♂️, Man mage
🧙‍♀️, Woman mage
🧚‍♂️, Man fairy
🧚‍♀️, Woman fairy
🧛‍♂️, Man vampire
🧛‍♀️, Woman vampire
🧜‍♂️, Man mermaid
🧜‍♀️, Woman mermaid
🧝‍♂️, Man elf
🧝‍♀️, Woman elf
🧞‍♂️, Man genie
🧞‍♀️, Woman genie
🧟‍♂️, Man zombie
🧟‍♀️, Woman zombie
🧌, Troll
👯‍♂️, Men with bunny ears
👯‍♀️, Women with bunny ears
🕴️‍♂️, Man in business suit levitating
🕴️‍♀️, Woman in business suit levitating
💇‍♂️, Man getting haircut
💇‍♀️, Woman getting haircut
💆‍♂️, Man getting massage
💆‍♀️, Woman getting massage
🧏‍♂️, Man deaf
🧏‍♀️, Woman deaf
🧏, Deaf person
👂, Ear
👃, Nose
👣, Footprints
👀, Eyes
👁, Eye
🧠, Brain
🦴, Bone
🦷, Tooth
👅, Tongue
👄, Mouth
🫀, Anatomical heart
🫁, Lungs
🦰, Red hair
🦱, Curly hair
🦳, White hair
🦲, Bald

🧟, Zombie
🧞, Genie
🧜‍♂️, Man mermaid
🧜‍♀️, Woman mermaid
🧚‍♂️, Man fairy
🧚‍♀️, Woman fairy
🧙‍♂️, Man mage
🧙‍♀️, Woman mage
🧛‍♂️, Man vampire
🧛‍♀️, Woman vampire
🧟‍♂️, Man zombie
🧟‍♀️, Woman zombie
🧚, Fairy
🧞‍♂️, Man genie
🧞‍♀️, Woman genie
🧙, Mage
🧛, Vampire
🧜, Mermaid
🧝, Elf
🧟‍♂️, Man zombie
🧟‍♀️, Woman zombie
🧞‍♂️, Man genie
🧞‍♀️, Woman genie
🧚, Fairy
🧚‍♂️, Man fairy
🧚‍♀️, Woman fairy
🧙, Mage
🧙‍♂️, Man mage
🧙‍♀️, Woman mage
🧛, Vampire
🧛‍♂️, Man vampire
🧛‍♀️, Woman vampire
🧜, Mermaid
🧜‍♂️, Man mermaid
🧜‍♀️, Woman mermaid
🧝, Elf
🧝‍♂️, Man elf
🧝‍♀️, Woman elf
🧞‍♂️, Man genie
🧞‍♀️, Woman genie
🧚, Fairy
🧚‍♂️, Man fairy
🧚‍♀️, Woman fairy
🧙, Mage
🧙‍♂️, Man mage
🧙‍♀️, Woman mage
🧛, Vampire
🧛‍♂️, Man vampire
🧛‍♀️, Woman vampire
🧜, Mermaid
🧜‍♂️, Man mermaid
🧜‍♀️, Woman mermaid
🧝, Elf
🧝‍♂️, Man elf
🧝‍♀️, Woman elf
🧞, Genie
🧞‍♂️, Man genie
🧞‍♀️, Woman genie
🧚, Fairy
🧚‍♂️, Man fairy
🧚‍♀️, Woman fairy
🧙, Mage
🧙‍♂️, Man mage
🧙‍♀️, Woman mage
🧛, Vampire
🧛‍♂️, Man vampire
🧛‍♀️, Woman vampire
🧜, Mermaid
🧜‍♂️, Man mermaid
🧜‍♀️, Woman mermaid
🧝, Elf
🧝‍♂️, Man elf
🧝‍♀️, Woman elf
🧞, Genie
🧞‍♂️, Man genie
🧞‍♀️, Woman genie
🧚, Fairy
🧚‍♂️, Man fairy
🧚‍♀️, Woman fairy
🧙, Mage
🧙‍♂️, Man mage
🧙‍♀️, Woman mage
🧛, Vampire
🧛‍♂️, Man vampire
🧛‍♀️, Woman vampire
🧜, Mermaid
🧜‍♂️, Man mermaid
🧜‍♀️, Woman mermaid
🧝, Elf
🧝‍♂️, Man elf
🧝‍♀️, Woman elf
