హాయ్, హాయ్! ఏముంది? (Hai! Emundi? - Hi! What’s up?)
ఏమండి, ఏం జరుగుతుంది? (Emandi! Em jarugutundi? - What’s happening?)
హలో మిత్రమా, హలో మిత్రమా! ఎలా ఉన్నారు? (Halo mitrama! Ela unnaru? - Hello friend! How are you?)
నమస్కారం, నమస్కారం! మీకు సహాయం కావాలా? (Namaskaram! Meeku sahayam kavalaa? - Namaste! Do you need help?)
హాయ్ మిత్రమా, హాయ్ మిత్రమా! ఏముంది? (Hai mitrama! Emundi? - Hi buddy! What’s up?)
హాయ్ స్నేహితా, హాయ్ స్నేహితా! ఏముంది? (Hai sneha! Emundi? - Hi friend! What’s up?)
హాయ్ సార్, హాయ్ సార్! నేను మీకు ఎలా సహాయం చేయగలను? (Hai saar! Nenu meeku ela sahayam cheyagalanu? - Hi sir! How can I assist you?)
హలో మేడం, హలో మేడం! నేను మీకు ఎలా సహాయం చేయగలను? (Halo medam! Nenu meeku ela sahayam cheyagalanu? - Hello madam! How can I help you?)
హాయ్ బాస్, హాయ్ బాస్! మీరు ఎలా ఉన్నారు? (Hai baas! Meeru ela unnaru? - Hi boss! How are you?)
హాయ్ సూపర్‌స్టార్, హాయ్ సూపర్‌స్టార్! మీకు సహాయం చేయడానికి నేను ఇక్కడ ఉన్నాను! (Hai superstar! Meeku sahayam cheyadaniki nenu ikkada unnanu! - Hi superstar! I’m here to help you!)
హలో శ్రేష్ఠ మిత్రమా, హలో శ్రేష్ఠ మిత్రమా! ఈ రోజు ఎలా ఉంది? (Halo shreshtha mitrama! Ee roju ela undi? - Hello best friend! How’s your day?)
greeting,response
jai sriram, Jai Sriram! How can I assist you today?
hara hara mahadev, Hara Hara Mahadev! How may I help you?
govind, Govind! What can I do for you?
jai hanuman, Jai Hanuman! How can I assist you?
jai mata di, Jai Mata Di! How can I help you today?
jai shree krishna, Jai Shree Krishna! How may I assist you?
jai ganesh, Jai Ganesh! What’s on your mind?
jai durga, Jai Durga! How can I help?
jai lakshmi, Jai Lakshmi! What can I do for you today?
jai saraswati, Jai Saraswati! How may I assist you?
jai kali, Jai Kali! How can I help you?
jai bhairav, Jai Bhairav! How can I assist?
jai parvati, Jai Parvati! What can I help you with?
jai devi, Jai Devi! How may I assist you?
jai kartikeya, Jai Kartikeya! How can I help?
jai shiva, Jai Shiva! How can I assist you today?
jai vishnu, Jai Vishnu! How may I help you?
jai narayana, Jai Narayana! What can I do for you?
jai rama, Jai Rama! How can I assist you?
jai sita, Jai Sita! How can I help you today?
jai radha, Jai Radha! How may I assist you?
jai brahma, Jai Brahma! What’s on your mind?
jai agni, Jai Agni! How can I help?
jai indra, Jai Indra! What can I do for you today?
jai surya, Jai Surya! How may I assist you?
jai chandra, Jai Chandra! How can I help you?
jai yama, Jai Yama! How can I assist?
jai varuna, Jai Varuna! What can I help you with?
jai kubera, Jai Kubera! How may I assist you?
jai hanumantha, Jai Hanumantha! How can I help?
jai bhima, Jai Bhima! How can I assist you today?
jai arjuna, Jai Arjuna! How may I help you?
jai nakula, Jai Nakula! What can I do for you?
jai sahadeva, Jai Sahadeva! How can I assist you?
jai draupadi, Jai Draupadi! How can I help you today?
jai bhishma, Jai Bhishma! How may I assist you?
jai karna, Jai Karna! What’s on your mind?
jai krishna, Jai Krishna! How can I help?
jai balarama, Jai Balarama! What can I do for you today?
jai lakshmana, Jai Lakshmana! How may I assist you?
jai bharata, Jai Bharata! How can I help you?
jai shatrughna, Jai Shatrughna! How can I assist?
jai ravana, Jai Ravana! What can I help you with?
jai sita rama, Jai Sita Rama! How may I assist you?
jai sita lakshmana, Jai Sita Lakshmana! How can I help?
jai sita bharata, Jai Sita Bharata! What’s on your mind?
jai sita shatrughna, Jai Sita Shatrughna! How can I assist you?
jai sita hanuman, Jai Sita Hanuman! How may I help you?
jai sita dasharatha, Jai Sita Dasharatha! How can I help?
greeting,response
హాయ్!, హాయ్! మీరు ఎలా ఉన్నారు? (Hai! Meeru ela unnaru? - Hi! How are you?)
నమస్కారం!, నమస్కారం! మీకు సహాయం కావాలా? (Namaskaram! Meeku sahayam kavalaa? - Namaste! Do you need help?)
శుభ సాయంత్రం!, శుభ సాయంత్రం! మీ రోజు ఎలా ఉంది? (Shubha saayantram! Mee roju ela undi? - Good evening! How was your day?)
శుభ రాత్రి!, శుభ రాత్రి! మీకీ రాత్రి మంచి నిద్ర కావాలని కోరుకుంటున్నాను! (Shubha raatri! Meeki raatri manchi nidra kavalanikorukuntunnanu! - Good night! Sleep well and take care!)
హలో!, హలో! నేను మీకు ఎలా సహాయం చేయగలను? (Halo! Nenu meeku ela sahayam cheyagalanu? - Hello! How can I help you?)
హాయ్!, హాయ్! మీకు ఏముంది? (Hai! Meeku emundi? - Hi! What’s up?)
మాత్రాలు అందరికీ, మాత్రాలు అందరికీ! మీరు ఎలా ఉన్నారు? (Maatraalu andariki, maatraalu andariki! Meeru ela unnaru? - Greetings everyone! How are you?)
నమస్కారం!, నమస్కారం! మీరు ఎలా ఉన్నారు? (Namaskaram! Meeru ela unnaru? - Namaste! How are you?)
వందనాలు!, వందనాలు! మీరు ఎలా ఉన్నారు? (Vandanaalu! Meeru ela unnaru? - Salutations! How are you?)
శుభోదయం!, శుభోదయం! మీకు అద్భుతమైన రోజు కావాలని కోరుకుంటున్నాను! (Shubhodayam! Meeku adbhutamainarozu kavalanikorukuntunnanu! - Good morning! Have a great day!)
శుభ సాయంత్రం!, శుభ సాయంత్రం! మీ రోజు ఎలా ఉంది? (Shubha saayantram! Mee roju ela undi? - Good evening! How was your day?)
శుభరాత్రి!, శుభరాత్రి! మీకు మంచి రాత్రి కావాలని కోరుకుంటున్నాను! (Shubha raatri! Meeku manchi raatri kavalanikorukuntunnanu! - Good night! Have a good night!)
హాయ్ మిత్రమా!, హాయ్ మిత్రమా! మీరు ఎలా ఉన్నారు? (Hai mitrama! Meeru ela unnaru? - Hi friend! How are you?)
హలో స్నేహితా!, హలో స్నేహితా! మీకు సహాయం కావాలా? (Halo sneha! Meeku sahayam kavalaa? - Hello friend! Do you need help?)
హాయ్ సర్!, హాయ్ సర్! మీరు ఎలా ఉన్నారు? (Hai sir! Meeru ela unnaru? - Hi sir! How are you?)
హలో మేడం!, హలో మేడం! మీరు ఎలా ఉన్నారు? (Halo madam! Meeru ela unnaru? - Hello madam! How are you?)
హాయ్ బాస్!, హాయ్ బాస్! మీకు ఏముంది? (Hai boss! Meeku emundi? - Hi boss! What’s up?)
హాయ్ సూపర్‌స్టార్!, హాయ్ సూపర్‌స్టార్! మీకు సహాయం చేయడానికి నేను ఇక్కడ ఉన్నాను! (Hai superstar! Meeku sahayam cheyadaniki nenu ikkada unnanu! - Hi superstar! I’m here to help you!)
హలో బెస్ట్ ఫ్రెండ్!, హలో బెస్ట్ ఫ్రెండ్! మీ రోజు ఎలా ఉంది? (Halo best friend! Mee roju ela undi? - Hello best friend! How’s your day?)
హాయ్ మిత్రమా!, హాయ్ మిత్రమా! మీకు సహాయం కావాలా? (Hai mitrama! Meeku sahayam kavalaa? - Hi buddy! Do you need help?)
హలో ప్రియమా!, హలో ప్రియమా! మీకు సహాయం కావాలా? (Halo priya! Meeku sahayam kavalaa? - Hello dear! Do you need help?)
హాయ్ ప్రాణమా!, హాయ్ ప్రాణమా! మీరు ఎలా ఉన్నారు? (Hai pranama! Meeru ela unnaru? - Hi dear! How are you?)
హలో గౌరవమా!, హలో గౌరవమా! మీరు ఎలా ఉన్నారు? (Halo gauravama! Meeru ela unnaru? - Hello respected one! How are you?)
హాయ్ సత్యమా!, హాయ్ సత్యమా! మీకు సహాయం కావాలా? (Hai satyama! Meeku sahayam kavalaa? - Hi truth! Do you need help?)
హలో ధర్మమా!, హలో ధర్మమా! మీరు ఎలా ఉన్నారు? (Halo dharmama! Meeru ela unnaru? - Hello righteousness! How are you?)
హాయ్ శక్తి!, హాయ్ శక్తి! మీకు సహాయం కావాలా? (Hai shakti! Meeku sahayam kavalaa? - Hi strength! Do you need help?)
హలో విజయం!, హలో విజయం! మీరు ఎలా ఉన్నారు? (Halo vijayam! Meeru ela unnaru? - Hello victory! How are you?)
హాయ్ ఆశీర్వాదం!, హాయ్ ఆశీర్వాదం! మీకు సహాయం కావాలా? (Hai ashirvadam! Meeku sahayam kavalaa? - Hi blessing! Do you need help?)
హలో క్షమ!, హలో క్షమ! మీరు ఎలా ఉన్నారు? (Halo kshama! Meeru ela unnaru? - Hello forgiveness! How are you?)
